node_or_edge_id,flag_id,description,resolution_applied,requires_human_review
Sulfur + Litharge Ointment,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Antimony Kohl,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Rose Water,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Tutty / Zinc Oxide,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Honey + Rose Water,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Saffron In Rose Water,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Celery Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Endive / Chicory Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Fumitory,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Caper Root Bark,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Black Myrobalan,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Senna,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Agrimony,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Parsley Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Juniper Berry,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Marshmallow Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Barberry,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Asparagus Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Watermelon Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Khaksi,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Valerian Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Lavender (ustukhudus),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Peony Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Amber,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Henbane (compound Only),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Poppy Seed (not Latex),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Black Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Myrtle Berry,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Emblic Myrobalan,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Dill Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Henna (feet),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Barley Water + Honey,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Senna Leaf,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Cassia Fistula Pulp,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Aloe Latex,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Psyllium / Ispaghol,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Prunes / Plums,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Flaxseed Mucilage,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Fig (dried),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Colocynth (compound),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Scammony (compound),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Emblic Myrobalan (amla),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Ashwagandha,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Honey (raw),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Sesame Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pine Nuts,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Dates,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Gold Leaf (varak),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Goat Milk,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Carrot Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Turnip Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Safflower Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Theriac Magna (compound),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Warm Milk,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Egg White,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Olive Oil (warm),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Armenian Bole Clay,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Clove Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Salt In Warm Water,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pomegranate Rind,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Gallnut,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Acacia Gum,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pellitory Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Miswak / Arak,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Vinegar (diluted),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Warm Olive Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Onion Juice (warmed),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Honey In Rose Water,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Rue Juice (warmed),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Galbanum In Olive Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Garlic Juice (diluted),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Castoreum In Warm Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Bitter Almond Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Euphorbia Post-islah,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Black Seed (inhaled),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Galbanum (errhine),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Rose Water (cold),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Vinegar Compress,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Costus Snuff,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Celery Seed Errhine,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Lavender Fumigation,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Honey + Ginger,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Boiled Fig,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pomegranate Juice (sour),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Sesame Oil (warm),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Burnt Alum,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Fenugreek Decoction,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Squill (post-islah),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Radish Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Endive / Chicory,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Castor Oil (topical),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Vinegar Fomentation,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Camel's Milk,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Senna (periodic),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Mustard Oil (massage),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Castoreum,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Aconite (post-islah) Liniment,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Asafoetida (fumigation In Acute),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Garlic In Vinegar,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Nutmeg,INC-01,Node form=UNKNOWN after normalization (cat='Herbs & kitchen'),form left as null; function/use tags applied where possible,TRUE
Calamus Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Bitter Gourd (karela),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Honey In Warm Water,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Vinegar (before Meals),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Radish (raw),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Almond Milk,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Ghee,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Saffron In Milk,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Dragon's Blood Resin,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Alum,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Vinegar (cold),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Coriander Juice (fresh),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Aloe (dried Latex),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Beeswax + Olive Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Verdigris (in Plaster),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Anesthetic Sponge — Opium,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Anesthetic Sponge — Mandrake,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Anesthetic Sponge — Henbane,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Theriac Magna,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
"Vinegar (strong, Aged)",INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Camphor (fumigation),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Fumitory (long Course),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Senna + Black Myrobalan,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
"Rose Water (cold, For Mania)",INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Cold Water Hydrotherapy,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
"Opium (compound, Last Resort)",INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Lavender Compound,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
"Honey (raw, Mature)",INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Saffron (micro-dose),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Dates + Almonds + Walnuts,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Rose Conserve,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Warm Bath + Oil Massage,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pomegranate Rind (sitz Bath),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Alum (sitz Bath),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Castor Oil (suppository),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Psyllium,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Bitter Almond Oil (suppository),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Cauterization (kayy),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Senna (black Jaundice Only),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Wild Rue / Harmal,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Saxifrage,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Chickpea Broth,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Rose Water (continuous),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Saffron Paste,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Sandalwood (white + Red),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Violet Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Lentil Broth (eruptive Phase),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Aromatic Room Fumigation,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Harmal Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Senna + Myrobalans (periodic),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
"Figs (dried, Daily Food)",INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Warm Salt-oil Compress,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Kajjali (mercury Sulfide),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Mercury Ointment (marham Zibaq),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Sarsaparilla Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Vinegar + Sulfur Wash,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Fennel Distillate,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
"Vinegar (sharp, Sniffed)",INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Cold Rose Water (oral),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Mint (strong Infusion),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Ispaghol / Plantain Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Emblic Myrobalan / Amla,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Beleric Myrobalan,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Mullein,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Miswak / Arak Wood,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Saxifrage / Stone-breaker,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Gum Ammoniacum / Oshaq,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Cassia Fistula,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Galbanum,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Gallnut / Oak Gall,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
London Rocket / Khaksi,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Sarsaparilla,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Bamboo,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Tipuana,INC-01,Node form=UNKNOWN after normalization (cat='Canopy tree'),form left as null; function/use tags applied where possible,TRUE
Moringa,INC-01,Node form=UNKNOWN after normalization (cat='Canopy tree'),form left as null; function/use tags applied where possible,TRUE
Mesquite,INC-01,Node form=UNKNOWN after normalization (cat='Canopy tree'),form left as null; function/use tags applied where possible,TRUE
Sesbania,INC-01,Node form=UNKNOWN after normalization (cat='Canopy tree'),form left as null; function/use tags applied where possible,TRUE
Tagasaste,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Tagasaste,INC-01,Node form=UNKNOWN after normalization (cat='Canopy tree'),form left as null; function/use tags applied where possible,TRUE
Macadamia,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Coffee,INC-09,form conflict between sources — kept Islamic agronomy source value,form='mid_tree' retained,TRUE
Citrus,INC-09,form conflict between sources — kept Islamic agronomy source value,form='mid_tree' retained,TRUE
Mango,INC-09,form conflict between sources — kept Islamic agronomy source value,form='mid_tree' retained,TRUE
Avocado,INC-09,form conflict between sources — kept Islamic agronomy source value,form='mid_tree' retained,TRUE
Papaya,INC-09,form conflict between sources — kept Islamic agronomy source value,form='mid_tree' retained,TRUE
Dragon Fruit,INC-09,form conflict between sources — kept Islamic agronomy source value,form='mid_tree' retained,TRUE
Guava,INC-09,form conflict between sources — kept Islamic agronomy source value,form='mid_tree' retained,TRUE
Lantana,INC-01,Node form=UNKNOWN after normalization (cat='Pioneer species'),form left as null; function/use tags applied where possible,TRUE
Blackberry,INC-01,Node form=UNKNOWN after normalization (cat='Pioneer species'),form left as null; function/use tags applied where possible,TRUE
Wild Tobacco,INC-01,Node form=UNKNOWN after normalization (cat='Pioneer species'),form left as null; function/use tags applied where possible,TRUE
Privet,INC-01,Node form=UNKNOWN after normalization (cat='Pioneer species'),form left as null; function/use tags applied where possible,TRUE
Creosote Bush,INC-01,Node form=UNKNOWN after normalization (cat='Pioneer species'),form left as null; function/use tags applied where possible,TRUE
Parthenium,INC-01,Node form=UNKNOWN after normalization (cat='Pioneer species'),form left as null; function/use tags applied where possible,TRUE
Bracken Fern,INC-01,Node form=UNKNOWN after normalization (cat='Pioneer species'),form left as null; function/use tags applied where possible,TRUE
Thistles,INC-01,Node form=UNKNOWN after normalization (cat='Pioneer species'),form left as null; function/use tags applied where possible,TRUE
Red Clover,INC-01,Node form=UNKNOWN after normalization (cat='Nitrogen fixer'),form left as null; function/use tags applied where possible,TRUE
Field Pea,INC-01,Node form=UNKNOWN after normalization (cat='Nitrogen fixer'),form left as null; function/use tags applied where possible,TRUE
Fava Beans,INC-01,Node form=UNKNOWN after normalization (cat='Nitrogen fixer'),form left as null; function/use tags applied where possible,TRUE
Pinto Peanut,INC-01,Node form=UNKNOWN after normalization (cat='Nitrogen fixer'),form left as null; function/use tags applied where possible,TRUE
Nasturtium,INC-09,form conflict between sources — kept Islamic agronomy source value,form='shrub' retained,TRUE
Aloe Vera,INC-01,Node form=UNKNOWN after normalization (cat='Shrub'),form left as null; function/use tags applied where possible,TRUE
Choko,INC-09,form conflict between sources — kept Islamic agronomy source value,form='climber' retained,TRUE
Kiwi,INC-09,form conflict between sources — kept Islamic agronomy source value,form='climber' retained,TRUE
Corn,INC-09,form conflict between sources — kept Islamic agronomy source value,form='grass_grain' retained,TRUE
Taro,INC-09,form conflict between sources — kept Islamic agronomy source value,form='aquatic_wetland' retained,TRUE
Lemongrass,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Sheep Sorrel,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Sacred Basil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Curry-leaf Tree,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Herbs & Parsley,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Okra,INC-01,Node form=UNKNOWN after normalization (cat='Industrial & fiber'),form left as null; function/use tags applied where possible,TRUE
Tomato,INC-09,form conflict between sources — kept Islamic agronomy source value,form='shrub' retained,TRUE
Pigeon_pea,INC-01,Node form=UNKNOWN after normalization (cat='nitrogen_fixer'),form left as null; function/use tags applied where possible,TRUE
Albizia_leb,INC-01,Node form=UNKNOWN after normalization (cat='nitrogen_fixer'),form left as null; function/use tags applied where possible,TRUE
Albizia_jul,INC-01,Node form=UNKNOWN after normalization (cat='nitrogen_fixer'),form left as null; function/use tags applied where possible,TRUE
Cassia,INC-01,Node form=UNKNOWN after normalization (cat='nitrogen_fixer'),form left as null; function/use tags applied where possible,TRUE
Inga,INC-01,Node form=UNKNOWN after normalization (cat='nitrogen_fixer'),form left as null; function/use tags applied where possible,TRUE
Crotalaria,INC-01,Node form=UNKNOWN after normalization (cat='nitrogen_fixer'),form left as null; function/use tags applied where possible,TRUE
Acacia_mel,INC-01,Node form=UNKNOWN after normalization (cat='pioneer'),form left as null; function/use tags applied where possible,TRUE
Acacia_flo,INC-01,Node form=UNKNOWN after normalization (cat='pioneer'),form left as null; function/use tags applied where possible,TRUE
Wild_tobacco,INC-01,Node form=UNKNOWN after normalization (cat='pioneer'),form left as null; function/use tags applied where possible,TRUE
Creosote,INC-01,Node form=UNKNOWN after normalization (cat='pioneer'),form left as null; function/use tags applied where possible,TRUE
Black_bean,INC-01,Node form=UNKNOWN after normalization (cat='pioneer'),form left as null; function/use tags applied where possible,TRUE
Bracken_fern,INC-01,Node form=UNKNOWN after normalization (cat='indicator'),form left as null; function/use tags applied where possible,TRUE
Cogon_grass,INC-01,Node form=UNKNOWN after normalization (cat='indicator'),form left as null; function/use tags applied where possible,TRUE
Poncirus,INC-01,Node form=UNKNOWN after normalization (cat='rootstock'),form left as null; function/use tags applied where possible,TRUE
Sour_orange,INC-01,Node form=UNKNOWN after normalization (cat='rootstock'),form left as null; function/use tags applied where possible,TRUE
M9,INC-01,Node form=UNKNOWN after normalization (cat='rootstock'),form left as null; function/use tags applied where possible,TRUE
MM111,INC-01,Node form=UNKNOWN after normalization (cat='rootstock'),form left as null; function/use tags applied where possible,TRUE
